Folder,Filename,FullPath,IssueType,Details,Width,Height,MeanBrightness,StdDev,LaplacianVar
06.02\2015\K2\1X,06_02-2015_01_28-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_01_28-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_01_29-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_01_29-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_01_30-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_01_30-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_02-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_02-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_03-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_03-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_04-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_04-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_05-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_05-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_06-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_06-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_07-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_07-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_08-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_08-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_10-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_10-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_11-10_37-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_11-10_37-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_12-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_12-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_13-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_13-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_14-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_14-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_15-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_15-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_16-08_19-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_16-08_19-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_17-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_17-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_18-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_18-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_19-10_58-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_19-10_58-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_20-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_20-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_02_21-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_02_21-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
